lat,lon,name
37.60999981,126.9949612,5
37.6217186,127.0279481,31
37.57022665,126.8616072,4
37.64288056,127.0650838,4
37.55416626,126.8753753,31
37.59104999,126.8823845,4
37.57917541,126.8782016,4
37.46585977,127.1158451,4
37.61707553,127.0299151,6
37.46468667,126.9027961,4
37.5607807,126.8165451,51
37.50204676,127.0190859,4
37.43372001,127.0664371,6
37.4840001,126.9296189,5
37.54392194,127.0602484,5
37.56565804,127.0542438,6
37.58924092,127.005375,4
37.45082429,126.9210184,6
37.5643123,126.9849092,6
37.52023497,126.9334511,7
37.49142755,127.0727055,6
37.56425284,127.0765248,4
37.5422541,126.8881188,6
37.56403263,126.9299378,4
37.53984301,127.1212841,4
37.47928267,126.9289309,4
37.50103469,127.0673787,5
37.51683208,126.940006,4
37.55555946,126.9930645,8
37.5200598,127.0569596,4
37.44395888,126.9034922,5
37.50772469,127.1465082,5
37.47504547,127.1287793,4
37.55471844,127.1769115,4
37.52443586,126.9546387,4
37.55591863,127.0098183,4
37.45567212,127.0474904,16
37.65216224,127.0248193,4
37.60884505,126.9313294,4
37.48225915,127.1114178,4
37.46559416,126.9004481,5
37.56171471,126.967258,6
37.57164293,127.0109723,6
37.52935729,127.0486312,4
37.52631541,127.1053044,4
37.51613248,127.007544,4
37.4988946,127.1416059,4
37.44212696,127.0590926,9
37.61078916,127.0334443,4
37.60215509,127.0842968,4
37.51995856,127.1127841,5
37.51675638,127.0855292,10
37.50860203,127.0130697,5
37.55196846,127.0921836,8
37.52010121,127.0280911,4
37.63135713,127.0242605,6
37.4997498,126.8417986,4
37.51044669,127.0703454,9
